species,,latitude,longitude
Southern Brown Tree Frog,,-37.6166,141.2456
Southern Brown Tree Frog,,-37.6166,141.2456
Southern Brown Tree Frog,,-37.5696,141.2837
Southern Brown Tree Frog,,-37.5696,141.2837
Southern Brown Tree Frog,,-38.7634,143.4791
Southern Brown Tree Frog,,-38.7634,143.4791
Southern Brown Tree Frog,,-38.44,143.2272
Southern Brown Tree Frog,,-38.44,143.2272
Agile Antechinus,,-37.3864,144.27834
Southern Brown Tree Frog,,-38.0334,145.1842
Southern Brown Tree Frog,,-38.0334,145.1842
Southern Brown Tree Frog,,-38.0334,145.1842
Southern Brown Tree Frog,,-37.8931,143.36444
Southern Brown Tree Frog,,-37.8231,144.09871
Southern Brown Tree Frog,,-37.2529,142.62861
Brown Treecreeper,,-34.22879,142.23043
Southern Brown Tree Frog,,-37.9604,143.48
Brown Treecreeper,,-36.8525,142.3325
Brown Treecreeper,,-34.1439,141.8436
Brown Treecreeper,,-37.42058,143.13782
Agile Antechinus,,-38.4832,144.89061
Agile Antechinus,,-38.4503,144.92333
Agile Antechinus,,-38.4478,144.92657
Southern Brown Tree Frog,,-37.3876,141.99548
Brown Treecreeper,,-34.7107,141.08772
Agile Antechinus,,-38.2416,147.30392
Agile Antechinus,,-37.4006,148.18666
Agile Antechinus,,-38.4203,144.1147
Agile Antechinus,,-37.3033,144.1152
Agile Antechinus,,-37.3033,144.1152
Agile Antechinus,,-37.3033,144.1152
Agile Antechinus,,-38.337,144.99949
Agile Antechinus,,-38.2338,147.30959
Brown Treecreeper,,-34.6577,142.92496
Brown Treecreeper,,-34.6577,142.92496
Brown Treecreeper,,-35.97917,143.11111
Southern Brown Tree Frog,,-38.2976,145.18866
Southern Brown Tree Frog,,-37.6615,144.49665
Southern Brown Tree Frog,,-38.47094,146.56525
Brown Treecreeper,,-34.7478,142.50694
Agile Antechinus,,-37.965,145.30032
Brown Treecreeper,,-36.0543,147.2173
Agile Antechinus,,-38.3257,145.18967
Agile Antechinus,,-38.3295,145.19358
Agile Antechinus,,-37.8572,146.37972
Agile Antechinus,,-37.6718,146.34934
Agile Antechinus,,-38.3511,147.02392
Southern Brown Tree Frog,,-38.148,147.1156
Southern Brown Tree Frog,,-38.1433,147.10026
Southern Brown Tree Frog,,-38.1457,147.09818
Southern Brown Tree Frog,,-38.1401,146.83309
Brown Treecreeper,,-36.5831,143.32889
Agile Antechinus,,-37.4531,144.2036
Southern Brown Tree Frog,,-37.4104,146.65995
Southern Brown Tree Frog,,-37.4104,146.65995
Agile Antechinus,,-37.8381,145.80126
Agile Antechinus,,-37.3279,144.2592
Agile Antechinus,,-37.7939,146.07405
Agile Antechinus,,-37.3309,144.2627
Agile Antechinus,,-37.822024,145.777059
Brown Treecreeper,,-34.3717,141.23333
Brown Treecreeper,,-36.15,146.65
Brown Treecreeper,,-36.52083,145.73194
Brown Treecreeper,,-36.4583,141.675
Brown Treecreeper,,-36.4583,141.675
Brown Treecreeper,,-36.23333,141.84167
Brown Treecreeper,,-34.28333,142.1
Brown Treecreeper,,-36.23333,141.84167
Brown Treecreeper,,-36.9556,144.48472
Common Beard-heath,,-38.2469,147.2089
Common Beard-heath,,-37.48465,141.93557
Common Beard-heath,,-37.28368,144.64453
Southern Brown Tree Frog,,-37.84627,146.42551
Agile Antechinus,,-37.33481,149.27573
Agile Antechinus,,-37.37488,149.3722
Agile Antechinus,,-37.27929,148.79843
Agile Antechinus,,-37.20796,148.86256
Brown Treecreeper,,-35.47139,143.46194
Brown Treecreeper,,-37.15916,143.75305
Brown Treecreeper,,-34.13777,141.32943
Brown Treecreeper,,-36.90962,141.84774
Brown Treecreeper,,-36.45916,146.09916
Brown Treecreeper,,-34.81082,141.77
Brown Treecreeper,,-36.97487,144.72104
Brown Treecreeper,,-36.87626,144.80131
Brown Treecreeper,,-37.01656,142.3819
Brown Treecreeper,,-36.75127,143.22217
Brown Treecreeper,,-34.37611,141.70027
Brown Treecreeper,,-37.10377,144.10688
Brown Treecreeper,,-37.01656,142.3819
Brown Treecreeper,,-37.01656,142.3819
Brown Treecreeper,,-37.01656,142.3819
Brown Treecreeper,,-37.64321,144.49327
Brown Treecreeper,,-36.55569,146.15683
Brown Treecreeper,,-37.4749,142.18635
Brown Treecreeper,,-36.55569,146.15683
Brown Treecreeper,,-36.88182,144.34716
Brown Treecreeper,,-36.81351,141.74107
Brown Treecreeper,,-36.92543,144.78409
Brown Treecreeper,,-37.01656,142.3819
Brown Treecreeper,,-36.93194,141.94416
Brown Treecreeper,,-37.15916,143.75305
Brown Treecreeper,,-36.19305,146.58082
Brown Treecreeper,,-36.93404,144.72076
Brown Treecreeper,,-37.16572,143.63134
Brown Treecreeper,,-37.11127,144.0066
Brown Treecreeper,,-34.63806,141.83027
Brown Treecreeper,,-36.15,146.63333
Brown Treecreeper,,-37.48935,141.86664
Brown Treecreeper,,-36.13388,146.62666
Brown Treecreeper,,-36.2707,144.70685
Brown Treecreeper,,-36.78462,141.75774
Brown Treecreeper,,-37.02431,144.87659
Brown Treecreeper,,-36.77694,142.02833
Brown Treecreeper,,-36.87626,144.79881
Brown Treecreeper,,-36.17361,146.51554
Brown Treecreeper,,-36.50222,146.20611
Brown Treecreeper,,-37.15766,143.75438
Brown Treecreeper,,-36.58694,146.13166
Brown Treecreeper,,-36.15,146.63333
Brown Treecreeper,,-36.0107,145.01129
Brown Treecreeper,,-37.14071,144.25938
Brown Treecreeper,,-37.64182,144.49133
Brown Treecreeper,,-34.143554,141.367243
Brown Treecreeper,,-34.176074,141.413001
Brown Treecreeper,,-34.13515,141.344734
Southern Brown Tree Frog,,-37.73894,145.13827
Southern Brown Tree Frog,,-37.629795,145.264886
Southern Brown Tree Frog,,-37.641158,145.352117
Southern Brown Tree Frog,,-37.578759,145.220821
Southern Brown Tree Frog,,-38.005208,147.190805
Southern Brown Tree Frog,,-37.850177,147.638264
Southern Brown Tree Frog,,-38.224543,147.301568
Southern Brown Tree Frog,,-38.147642,147.156538
Agile Antechinus,,-38.024479,141.129865
Agile Antechinus,,-38.016826,141.011495
Southern Brown Tree Frog,,-37.942379,145.309156
Southern Brown Tree Frog,,-37.942821,145.296753
Southern Brown Tree Frog,,-37.571705,144.914948
Agile Antechinus,,-37.3783,144.2438
Common Beard-heath,,-36.530694,141.0125
Brown Treecreeper,,-37.016384,142.747826
Southern Brown Tree Frog,,-37.407112,144.355663
Southern Brown Tree Frog,,-37.46855,144.589036
Brown Treecreeper,,-36.367516,146.091674
Brown Treecreeper,,-36.88,143.26639
Brown Treecreeper,,-36.8231,143.23583
Southern Brown Tree Frog,,-38.138573,145.200382
Southern Brown Tree Frog,,-38.166477,145.202561
Southern Brown Tree Frog,,-37.42259,148.545261
Brown Treecreeper,,-36.2358,146.9842
Agile Antechinus,,-38.384571,146.454803
Southern Brown Tree Frog,,-38.201834,144.440599
Agile Antechinus,,-37.871441,145.891756
Agile Antechinus,,-37.921884,146.321363
Agile Antechinus,,-37.562619,145.890403
Agile Antechinus,,-38.024451,145.411285
Southern Brown Tree Frog,,-37.408388,144.354026
Agile Antechinus,,-37.4605,144.4452
Agile Antechinus,,-37.773878,149.200934
Agile Antechinus,,-37.578254,149.126157
Agile Antechinus,,-37.238199,148.638651
Southern Brown Tree Frog,,-37.517938,145.356684
Agile Antechinus,,-37.847,144.1786
Agile Antechinus,,-37.0132,142.457
Agile Antechinus,,-37.3,146.47
Southern Brown Tree Frog,,-37.1,142.52
Agile Antechinus,,-37.03,147.25
